,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-497.6536,30.148209,-2.2385368,6.711246,-2.158845,0.18814199,-2.2628446,-0.7645293,-5.1780844,-2.7857542,-2.3707943,-0.47578606,1.0110263,-3.1743593,-1.2267677,0.79451376,-6.0801377,-3.2245681,1.5436602,-4.8588095,-0.6528195,-1.3246499,-2.3174593,-1.1672474,-2.34286,0.42256624,-2.0256574,-2.1289127,-0.75362366,-2.5713282,-2.627983,-2.9218383,-1.9472177,-1.7133063,-1.8193173,-0.75213605,-0.9026451,-0.85963345,-0.7332089,-0.8241735
1,-493.78174,58.71052,9.479178,21.621613,3.7660954,5.110365,-2.4557555,5.325572,-6.1631026,-6.9263296,-0.4608735,-2.8867102,-1.4338115,-8.231238,0.9592004,-2.8840055,-9.033211,-1.2316458,-2.5685887,-6.041029,-3.2276518,-3.2721896,-6.972198,-3.5841322,-3.1655922,-4.8380866,-4.6511607,-6.084654,-5.2369103,-5.1478205,-5.42514,-4.8638053,-3.051703,-4.465628,-4.403913,-2.6427517,-4.76927,-3.706211,-4.192815,-4.5229287
2,-422.6512,56.063904,-0.19774452,15.040518,-1.8200308,-0.79428923,-5.3335385,0.12818885,-7.3586993,-9.661405,-2.848767,-0.30514398,-2.2682805,-6.725835,-1.2842467,-2.5835881,-10.0512,-1.9280074,-1.7150754,-7.7649164,-1.3975931,-6.140212,-6.233719,-2.3797793,-3.9109945,-4.3956227,-4.720069,-6.059883,-4.856288,-3.2706463,-5.158361,-4.393971,-1.9396013,-2.8205504,-3.6146011,-1.548544,-4.3139267,-3.1283054,-3.6994443,-4.327106
3,-424.47897,45.28222,-6.9297156,18.019829,-1.9232262,-4.0675883,-7.19552,1.1056991,-6.769848,-6.4809136,-1.2563192,-2.837413,-3.9047508,-6.097587,1.8244058,-8.122824,-7.065325,-0.24922104,-5.8402457,-4.4126415,-3.304287,-2.7603304,-3.972215,-2.7374225,-1.7890533,-4.327889,-4.086464,-3.2520275,-2.482938,-3.7538602,-2.4440439,-1.2651248,-2.7247238,-0.8412154,-1.817234,-2.4652958,-1.4985092,-3.5062594,-2.5010982,-3.2718136
4,-432.03058,59.590183,2.8360963,18.0995,-3.5318482,0.036272723,-3.1549811,-1.243708,-3.8295422,-7.415158,-6.3625054,-1.7739408,-0.6259526,-10.537654,-1.3722706,-5.3348813,-11.870407,-1.5707529,-2.8192372,-5.9423084,-4.72963,-2.4117575,-5.2218,-5.946821,-1.8885379,-5.985117,-5.2629986,-4.416135,-8.236591,-6.4460073,-5.782669,-6.5011024,-2.8840237,-2.9416463,-3.2770925,-0.44559819,-2.7097878,-0.53102696,-0.8580809,-3.6342657
5,-430.2168,70.51438,5.8891582,18.777538,-7.9085035,3.6471417,-3.7525687,1.6480612,-8.663434,-10.481783,-2.2491171,0.48457947,1.8438255,-10.314923,0.7493138,-3.188657,-10.69381,-1.7562793,-3.0879657,-8.248309,-4.5156054,-3.7015188,-8.750069,-4.4442997,-3.4255168,-5.600816,-4.6430197,-5.445529,-6.5231743,-4.222769,-5.397966,-6.6784363,-2.7738695,-5.051528,-3.2073467,-2.1264505,-5.5071263,-2.1066053,-2.8628862,-3.240974
6,-475.0834,58.12779,3.541101,12.59154,-3.7149217,-1.1148282,-0.65793645,1.8562465,-5.660213,-8.774001,-2.5181983,-0.12908618,-2.2228475,-7.1244526,-3.5957165,-5.025323,-9.237976,-1.7401367,-2.48777,-8.443119,0.10887017,-2.1524808,-4.380812,0.3527344,-3.2315674,-3.2833009,-3.4441147,-4.7089057,-4.65133,-3.8325162,-4.415241,-5.4028163,-3.3784323,-4.9189606,-2.3787978,-0.79856133,-4.5839643,-1.8066235,-1.7648263,-2.2549157
7,-453.14398,39.641277,-6.9456577,5.944646,-4.6513443,-0.72121274,-5.7097836,1.7087299,-2.6018617,-6.7014694,-1.8913169,1.1644742,-1.6434506,-4.5071664,-1.8029019,-3.2696466,-6.4832487,-2.749847,-1.0936289,-5.146476,-2.454613,-1.871304,-2.8060153,-2.7455301,-1.7861415,-2.8320549,-4.012853,-2.8681548,-3.4126856,-3.3823643,-1.7508475,-3.165548,-2.4707658,-0.7341353,-2.5579824,-1.3078467,-1.5817196,-1.188151,-0.34089175,-1.4672849
8,-448.29434,43.95527,-3.2582765,7.121554,-0.29539537,-1.1045343,-3.753988,4.9802814,-4.861649,-6.642603,0.27861106,-1.2538297,0.75440043,-5.4554124,-0.35979468,-3.038987,-8.057287,-0.2089943,-2.3069992,-6.0036306,-2.2419927,-2.4369578,-4.3128,-1.6850317,-2.2823694,-4.1337595,-3.3197806,-3.0589056,-4.702109,-3.1815987,-3.0418785,-3.9914308,-1.7376329,-3.288628,-2.477976,-1.0216736,-2.6716356,-2.437022,-1.3073775,-1.7860526
9,-498.87448,29.631878,-3.7850275,6.111182,-0.75351435,1.8300416,-4.070691,3.2085593,-2.8863118,-4.576131,-1.5880944,1.0666964,-2.0716746,-2.7945273,0.5054843,-1.0338444,-3.6898024,-1.2175019,-0.8789775,-2.9205067,-1.4518911,-2.6489,-1.5127634,-2.4966235,-0.3507038,-3.6368997,-2.4612265,-2.4927127,-3.691604,-1.1647794,-2.5924149,-1.171375,-1.6736746,-0.7845157,-1.8102157,-1.3456757,-1.1909049,-1.6916891,-1.4691652,-1.4688873
10,-457.46875,40.786236,-0.48570603,9.768994,4.3953333,3.6760283,-3.813821,1.6418282,-1.227871,-5.4102774,-1.0437837,1.4715295,-2.2095134,-4.310493,0.030252222,-2.305368,-6.315927,-2.2417228,-1.427603,-4.7674637,-2.7951252,-2.9795053,-4.620328,-3.9724402,-1.7100297,-4.1965203,-4.16268,-3.3423696,-4.523891,-2.4915578,-3.6898878,-3.4263108,-2.1376898,-3.0046527,-2.7908084,-2.2480235,-2.582928,-2.1539226,-1.6955967,-1.1979332
